Model,Train Accuracy,Test Accuracy
SVC,97.95918367346938,98.83720930232558
KNeighborsClassifier,100.0,98.83720930232558
SGDClassifier,96.20991253644316,97.67441860465115
DecisionTreeClassifier,98.25072886297376,97.67441860465115
XGBClassifier,99.12536443148689,97.67441860465115
LogisticRegression,98.54227405247813,96.51162790697676
RandomForestClassifier,98.54227405247813,96.51162790697676
